entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score
69fcf6aa2a818019f02572db,EGFR_00005,EGFR,CC(C)O[C@@H]1NC[C@H](C)CN1C,0.9,-4.48
69fcf6aa2a818019f02572df,EGFR_00012,EGFR,CCOCC(O)O,0.51,-3.14
69fcf6aa2a818019f02572dd,EGFR_00009,EGFR,CCOCC,0.42,-2.44
69fcf6aa2a818019f02572d4,EGFR_00003,EGFR,CCCCC(=O)NCCNC(C)CC#N,-0.31,
69fcf6aa2a818019f02572d3,EGFR_00000,EGFR,O=C(O)O,-0.42,
69fcf6aa2a818019f02572da,EGFR_00004,EGFR,CCCCC(=O)NCCNC(CC#N)C(=O)OCc1ccccc1,-0.76,
69fcf6aa2a818019f02572e0,EGFR_00014,EGFR,COc1ccc(OCc2cccc(Cl)c2)cc1Cl,-0.89,
69fcf6aa2a818019f02572d7,EGFR_00018,EGFR,CC(C)(C)CCCCOc1c(Cl)cc(CCl)c(Cl)c1F,-1.09,
69fcf6aa2a818019f02572d8,EGFR_00019,EGFR,CC(C)(C)CCCCOc1c(Cl)cc(NCN)c(Cl)c1F,-1.1,
69fcf6aa2a818019f02572dc,EGFR_00008,EGFR,CCCC(CCC(=O)[Si](C)(C)CC)CC(C)(C)C#N,-1.1,
69fcf6aa2a818019f02572de,EGFR_00011,EGFR,CCCC(CCC(=O)[Si](C)(C)C(C)(C)C)CC(C)(C)C#N,-1.48,
69fcf6aa2a818019f02572e1,EGFR_00015,EGFR,CC(C)(C)CCCCOc1c(Cl)cc(N)c(Cl)c1F,-1.5,
69fcf6aa2a818019f02572d9,EGFR_00020,EGFR,CCCC(CC#N)c1ccc(C(=O)OCc2ccccc2)cc1,-1.54,
69fcf6aa2a818019f02572d6,EGFR_00017,EGFR,CC(C)(C)CCCCOc1c(Cl)cc(NC(N)=O)c(Cl)c1F,-1.81,
69fcf6aa2a818019f02572d5,EGFR_00016,EGFR,CC(C)(C)CCCCOc1c(Cl)cc(NC(N)=O)c(Cl)c1F,-1.95,
